"","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","WT","D01","5mM Sulfite/7.5mM Lactate",TRUE,"gompertz.exp",FALSE,FALSE,0,0.0341742221712801,10.7529800675392,0.128707616557377,2.12702173658246,0.00198455282925999,0.141396835318226,0.00410375006711256,0.0309096327671474,0.0374388115754127,10.5203822734408,10.9855778616377,0.121956947696976,0.135458285417777,0.0302844986259305,0.0380639457166296,10.4758422703155,11.030117864763,0.120664266425836,0.136750966688917,0.0403680494374144,10.87609997668,0.16108075570216,2.13609631551995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","WT","D01","5mM Sulfite/7.5mM Lactate",TRUE,"gompertz.exp",FALSE,FALSE,0,0.0312991921007904,7.69873286838774,0.145828640733756,2.67813865525858,0.0013475300554439,0.110528020074325,0.00383188790731498,0.0290825051595852,0.0335158790419956,7.51691427536548,7.88055146141,0.139525185126223,0.152132096341289,0.0286580331921203,0.0339403510094605,7.48209794904206,7.91536778773342,0.138318140435418,0.153339141032093,0.0368282090421939,7.83488914961938,0.174782494904449,2.68067237176622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WT","D01","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0288117762109993,6.9812489425254,0.169599123351012,2.7334557168487,0.00122433405820635,0.18502312159276,0.000891639021286298,0.0267977466852499,0.0308258057367487,6.67688590750531,7.28561197754549,0.168132377160996,0.171065869541028,0.0264120814569149,0.0312114709650837,6.61860362420359,7.34389426084721,0.167851510869291,0.171346735832733,0.0363357179282444,7.5401012904353,0.175091528638516,2.7563615048595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","WT","D01","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0301660667779712,8.14679483324801,0.16586287323764,2.50920883153628,0.00140690917713468,0.203147663233925,0.000958689353315287,0.0278517011815847,0.0324804323743578,7.8126169272282,8.48097273926781,0.164285829251437,0.167439917223844,0.0274085247907873,0.0329236087651552,7.74862541330952,8.5449642531865,0.163983842105142,0.167741904370138,0.043755708581593,9.18399009168248,0.171110987131892,2.52447854941761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WT","D01","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0308911141388649,6.98634541560448,0.178777891946683,2.87640963552748,0.00121419915822361,0.164089541930525,0.000887322985910714,0.028893756523587,0.0328884717541427,6.71641811912877,7.25627271208019,0.177318245634859,0.180237538258506,0.0285112837887466,0.0332709444889831,6.66472991342065,7.30796091778831,0.177038738894298,0.180517044999068,0.0368878006598739,7.47198580042884,0.184787484401261,2.89974280701339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WT","D01","15mM Sulfate / 30mM Lactate",TRUE,"logistic",FALSE,FALSE,0,0.0433463467492078,29.2998461333521,0.428372257667427,4.7674317567352,0.00195730713104777,0.236200496651517,0.00717210332674465,0.0401265765186342,0.0465661169797813,28.9112963163604,29.6883959503439,0.416574147694932,0.440170367639922,0.0395100247723541,0.0471826687260614,28.8368931599152,29.7627991067891,0.414314935147007,0.442429580187847,0.104991101669828,34.1574839955879,0.423018257516954,5.32578855200838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WT","D01","15mM Sulfate / 30mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0655969400954942,35.9748540887937,0.371398008148104,3.32371421905342,0.00922768135685471,0.751653557907597,0.00243941761124149,0.0504174042634682,0.0807764759275202,34.7383839860357,37.2113241915517,0.367385166177612,0.375410850118596,0.0475106846360589,0.0836831955549294,34.5016131152948,37.4480950622926,0.366616749630071,0.376179266666137,0.0786536347071574,36.7769673127794,0.3759022270837,3.53467732783706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WT","D01","15mM Sulfate / 30mM Lactate",TRUE,"gompertz.exp",FALSE,FALSE,0,0.0444781107548323,31.770719024157,0.309140275044659,5.28408106685695,0.00213424024853989,0.226539482362712,0.016068776626753,0.0409672855459842,0.0479889359636804,31.3980615756703,32.1433764726437,0.28270713749365,0.335573412595667,0.0402949998676941,0.0486612216419705,31.3267016387261,32.2147364095879,0.277645472856223,0.340635077233095,0.0854548383153655,33.8876241202055,0.396715850577719,5.2750107937511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WT","D01","15mM Sulfate / 30mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0591469766157006,32.8615504593042,0.393462431694731,4.34571811698582,0.00392646117317377,0.368441153271553,0.00229597123960678,0.0526879479858298,0.0656060052455715,32.2554647621725,33.4676361564359,0.389685559005578,0.397239304383884,0.05145111271628,0.0668428405151212,32.1394057988919,33.5836951197164,0.388962328065102,0.39796253532436,0.0773474794878459,34.3724577501575,0.394944858656971,4.56174126345232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","WT","D01","15mM Sulfate / 30mM Lactate",TRUE,"logistic",FALSE,FALSE,0,0.0427879845209472,30.3830863235945,0.445160163666349,4.37067099928014,0.0014181983712946,0.180053218477455,0.00691066009170225,0.0404550482001676,0.0451209208417268,30.0868987791991,30.6792738679899,0.433792127815499,0.456528199517199,0.0400083157132098,0.0455676533286846,30.0301820153787,30.7359906318103,0.431615269886613,0.458705057446085,0.0813940654531256,34.173007832455,0.418058108650612,4.77590180907138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
