evolution_line,transfer,culture,rate,yield
KSEA,0,coculture,0.006992082,0.305123692
KSEA,0,coculture,0.005368832,0.252089802
KSEA,0,coculture,0.005954758,0.288317995
KSEA,0,coculture,0.005882299,0.264912523
KSEA,0,coculture,0.005314866,0.263517557
KSEA,0,coculture,0.004492674,0.242685325
KSEE,0,coculture,0.006331665,0.305671808
KSEE,0,coculture,0.005215425,0.253194763
KSEE,0,coculture,0.005190346,0.232979543
KSEE,0,coculture,0.004472639,0.263985575
KSEE,0,coculture,0.003632853,0.263566479
KSEE,0,coculture,0.005894041,0.284328272
KSES,0,coculture,0.004474702,0.24530113
KSES,0,coculture,0.005343422,0.275083695
KSES,0,coculture,0.006227821,0.282569828
HA2,6,coculture,0.013996263,0.419886153
UA3,10,coculture,0.012319365,0.400611648
UA3,10,coculture,0.015177743,0.424320349
UA3,10,coculture,0.012364366,0.443550969
UA3,10,coculture,0.015120213,0.418791588
UA3,10,coculture,0.015873241,0.436560336
HA2,12,coculture,0.01490525,0.44868892
HA2,12,coculture,0.013935024,0.416880893
HA2,12,coculture,0.013353025,0.428859127
HA2,12,coculture,0.014579018,0.446349026
HA2,12,coculture,0.012817575,0.426909146
HA2,12,coculture,0.013435703,0.441194969
UA3,15,coculture,0.019589387,0.435666644
UA3,15,coculture,0.020784718,0.422869091
UA3,15,coculture,0.018644148,0.437937924
UA3,15,coculture,0.018814096,0.410013768
UA3,15,coculture,0.017630587,0.467601805
UA3,15,coculture,0.018251236,0.461711634
UA3,15,coculture,0.016570891,0.474527031
UA3,15,coculture,0.020333644,0.487047447
UA3,15,coculture,0.017718359,0.471048755
UA3,15,coculture,0.013575877,0.421468476
UA3,15,coculture,0.018243999,0.454573492
UA3,15,coculture,0.017002177,0.444445876
HA2,20,coculture,0.019730466,0.469520671
HA2,20,coculture,0.022014313,0.473378639
HA2,20,coculture,0.021859225,0.476841035
HA2,20,coculture,0.020561773,0.473083975
HA2,20,coculture,0.019261026,0.455456956
HR2,21,coculture,0.014509466,0.390131261
HR2,21,coculture,0.012487292,0.372247977
HR2,21,coculture,0.012992556,0.370562553
HR2,21,coculture,0.013146573,0.371659953
HR2,21,coculture,0.011928219,0.347400585
HA2,30,coculture,0.019171491,0.436946408
HA2,30,coculture,0.016160084,0.40680578
HR2,45,coculture,0.016507322,0.421370935
HR2,45,coculture,0.015824702,0.432900313
HR2,45,coculture,0.016787586,0.446970434
HR2,45,coculture,0.014135283,0.404650138
HR2,45,coculture,0.017417155,0.420548252
UA3,45,coculture,0.021237916,0.430758232
UA3,45,coculture,0.021395301,0.436123247
UA3,45,coculture,0.019998178,0.428935423
UA3,76,coculture,0.025214171,0.448188955
UA3,76,coculture,0.026389846,0.463554454
UA3,76,coculture,0.022869544,0.451986402
UA3,76,coculture,0.026790018,0.4751134
UA3,76,coculture,0.029118472,0.467934769
HA2,118,coculture,0.030469372,0.458854122
HA2,118,coculture,0.029353936,0.469952657
HA2,118,coculture,0.029545381,0.476900439
UA3,118,coculture,0.021034392,0.466114569
UA3,118,coculture,0.020049057,0.451812984
UA3,118,coculture,0.023742012,0.479482267
UA3,118,coculture,0.020549818,0.465340047
UA3,118,coculture,0.02237647,0.462692584
UA3,118,coculture,0.018835076,0.435188277
UA3,118,coculture,0.020428796,0.483568183
UA3,118,coculture,0.018677717,0.480741116
UA3,118,coculture,0.020739586,0.492577422
HA2,152,coculture,0.029145201,0.480105173
HA2,152,coculture,0.028645151,0.470649082
HA2,152,coculture,0.029300884,0.478853976
HA2,152,coculture,0.029139634,0.472337574
HR2,152,coculture,0.033868235,0.442408043
HR2,152,coculture,0.031703027,0.425411194
UA3,152,coculture,0.034274622,0.533327945
UA3,152,coculture,0.03441956,0.524702419
UA3,152,coculture,0.034680367,0.539059682
