line,transfer,recording,rate,yield
UA3.152.02,152,m,0.026279753,0.532112872
UA3.152.02,152,m,0.022134261,0.532210303
UA3.152.02,152,m,0.022877497,0.54169026
UA3.152.03,152,m,0.035613642,0.518432073
UA3.152.03,152,m,0.035135216,0.507743681
UA3.152.03,152,m,0.036195411,0.498965997
UA3.152.09,152,m,0.024552758,0.541263737
UA3.152.09,152,m,0.020376868,0.509953219
UA3.152.09,152,m,0.019770088,0.474403242
UA3.152.10,152,m,0.031099167,0.509184373
UA3.152.10,152,m,0.031287325,0.45841572
UA3.152.10,152,m,0.032236138,0.519720387
HA2.152.01,152,m,0.036210275,0.509440975
HA2.152.01,152,m,0.03793654,0.507242885
HA2.152.01,152,m,0.04148695,0.532963165
HA2.152.05,152,m,0.0396307,0.528728933
HA2.152.05,152,m,0.037956086,0.521832172
HA2.152.05,152,m,0.036563779,0.516540519
HA2.152.08,152,m,0.025712403,0.473558939
HA2.152.08,152,m,0.022506594,0.427802967
HA2.152.08,152,m,0.019887776,0.432907626
HA2.152.09,152,m,0.023094031,0.456791677
HA2.152.09,152,m,0.021208297,0.449042889
HA2.152.09,152,m,0.020436916,0.455706632
HA2.152.01,152,a,0.040120914,0.530735503
HA2.152.01,152,a,0.040523673,0.559068329
HA2.152.01,152,a,0.036415777,0.500909647
HA2.152.01,152,a,0.038769414,0.519695158
HA2.152.05,152,a,0.0290204,0.499556028
HA2.152.05,152,a,0.040544788,0.53518607
HA2.152.05,152,a,0.02995064,0.443662958
HA2.152.05,152,a,0.027957247,0.516474107
HA2.152.05,152,a,0.028879432,0.435510508
HA2.152.08,152,a,0.024584791,0.410268232
HA2.152.08,152,a,0.026096932,0.398493722
HA2.152.08,152,a,0.026891713,0.397639556
HA2.152.08,152,a,0.027287,0.398077887
HA2.152.09,152,a,0.027734603,0.408225058
HA2.152.09,152,a,0.027886325,0.437967387
HA2.152.09,152,a,0.027126327,0.436540747
HA2.152.09,152,a,0.032356619,0.481367674
HR2.152.01,152,a,0.032701549,0.4947832
HR2.152.01,152,a,0.034889358,0.464285431
HR2.152.01,152,a,0.03218054,0.478592833
HR2.152.01,152,a,0.033664913,0.481134914
HR2.152.05,152,a,0.030549765,0.499663809
HR2.152.05,152,a,0.029865682,0.448643129
HR2.152.05,152,a,0.032350544,0.475394179
HR2.152.05,152,a,0.029727381,0.470675831
HR2.152.10,152,a,0.025349145,0.501300942
HR2.152.10,152,a,0.026528956,0.48644814
UA3.152.02,152,a,0.027331419,0.53786219
UA3.152.02,152,a,0.028215218,0.546445051
UA3.152.03,152,a,0.028965394,0.439331613
UA3.152.03,152,a,0.028103645,0.460114844
UA3.152.03,152,a,0.041451089,0.551387647
UA3.152.03,152,a,0.040290231,0.554989777
UA3.152.09,152,a,0.041965089,0.652479508
UA3.152.09,152,a,0.039578297,0.61581848
UA3.152.09,152,a,0.036250596,0.56501948
UA3.152.09,152,a,0.029308005,0.459464799
UA3.152.09,152,a,0.039645333,0.561588971
UA3.152.10,152,a,0.04152255,0.578184151
UA3.152.10,152,a,0.040631636,0.580947909
UA3.152.10,152,a,0.043155399,0.558047472
UA3.152.10,152,a,0.039955674,0.549632253
