Line,EPD,pair,reliability,used.model,log.x,log.y,nboot.gc,mu.model,lambda.model,A.model,integral.model,stdmu.model,stdlambda.model,stdA.model,ci90.mu.model.lo,ci90.mu.model.up,ci90.lambda.model.lo,ci90.lambda.model.up,ci90.A.model.lo,ci90.A.model.up,ci95.mu.model.lo,ci95.mu.model.up,ci95.lambda.model.lo,ci95.lambda.model.up,ci95.A.model.lo,ci95.A.model.up,mu.spline,lambda.spline,A.spline,integral.spline,mu.bt,lambda.bt,A.bt,integral.bt,stdmu.bt,stdlambda.bt,stdA.bt,stdintegral.bt,ci90.mu.bt.lo,ci90.mu.bt.up,ci90.lambda.bt.lo,ci90.lambda.bt.up,ci90.A.bt.lo,ci90.A.bt.up,ci90.integral.bt.lo,ci90.integral.bt.up,ci95.mu.bt.lo,ci95.mu.bt.up,ci95.lambda.bt.lo,ci95.lambda.bt.up,ci95.A.bt.lo,ci95.A.bt.up,ci95.integral.bt.lo,ci95.integral.bt.up
HA2.152,1,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.021257263,32.70340963,0.412963092,23.1308194,0.000375775,0.245811933,0.000890391,0.020639114,0.021875413,32.299049,33.10777026,0.411498398,0.414427786,0.020520744,0.021993782,32.22161824,33.18520102,0.411217925,0.414708259,0.01808921,30.74800829,0.426203874,23.04220647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.017124067,29.4103662,0.412400616,23.53064938,0.000160361,0.158845622,0.000567529,0.016860272,0.017387861,29.14906515,29.67166724,0.41146703,0.413334201,0.016809758,0.017438375,29.09902878,29.72170362,0.411288259,0.413512973,0.015362635,27.71181709,0.4210201,23.51340607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.01378157,31.85187734,0.37275028,19.82914332,0.00014199,0.194150367,0.000673165,0.013547997,0.014015144,31.53249998,32.17125469,0.371642923,0.373857638,0.01350327,0.014059871,31.47134262,32.23241206,0.371430876,0.374069685,0.012551671,30.19933402,0.377899876,19.81423171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022380147,31.63658267,0.414877682,24.16243358,0.000459953,0.284706252,0.000845909,0.021623525,0.023136769,31.16824089,32.10492446,0.413486162,0.416269203,0.02147864,0.023281654,31.07855842,32.19460692,0.413219701,0.416535664,0.019369894,30.88516364,0.441304766,24.12111027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022106221,61.79798768,0.459300745,12.92564197,0.000415973,0.298737923,0.001604183,0.021421946,0.022790497,61.3065638,62.28941156,0.456661864,0.461939625,0.021290915,0.022921528,61.21246135,62.38351401,0.456156547,0.462444943,0.020746024,61.64618739,0.46210908,13.24914575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.02115312,41.41106347,0.422077459,20.22144281,0.000249961,0.174829539,0.000613201,0.020741935,0.021564306,41.12346887,41.69865806,0.421068744,0.423086175,0.020663197,0.021643043,41.06839757,41.75372936,0.420875585,0.423279333,0.019058023,40.03134378,0.433417516,20.23434315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.023993805,43.17452485,0.429107167,20.46108946,0.000475157,0.273680908,0.000829149,0.023212171,0.024775438,42.72431976,43.62472994,0.427743217,0.430471116,0.023062497,0.024925112,42.63811027,43.71093943,0.427482035,0.430732298,0.021200045,41.36972218,0.445566454,20.56923199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D02/Mp_wt,TRUE,logistic,FALSE,FALSE,0,0.042064192,45.65834074,0.448985455,20.37260226,0.001071783,0.154855082,0.001429198,0.040301109,0.043827275,45.40360413,45.91307735,0.446634425,0.451336485,0.039963498,0.044164887,45.35482478,45.9618567,0.446184228,0.451786683,0.033863439,44.58637714,0.488887394,20.50222871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.032833045,38.2284975,0.433617861,24.13307964,0.002475004,0.854593294,0.001379746,0.028761663,0.036904427,36.82269153,39.63430347,0.431348178,0.435887543,0.027982036,0.037684053,36.55349464,39.90350036,0.430913558,0.436322163,0.035375404,39.80972334,0.482943765,24.25157199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.03233908,28.82309087,0.460165998,29.16890386,0.001114987,0.386510442,0.001021195,0.030504926,0.034173233,28.18728119,29.45890054,0.458486133,0.461845864,0.030153706,0.034524454,28.0655304,29.58065133,0.458164456,0.46216754,0.036980249,31.78432254,0.496524068,29.14296895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
